"Number of peptides","Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"2","10","10","0.01","1e-06","0.73023","0.96462","0.12558","0.22222","0.71884","0.97541","0.10887","0.19588","0.635316","0.00019790606399999988"
"2","10","10","0.001","1e-06","0.87809","0.74378","0.81976","0.77992","0.79522","0.75646","0.73149","0.74376","0.407822","2.1057426000000028e-05"
"2","10","10","0.001","1e-05","0.86105","0.78734","0.72559","0.75521","0.79041","0.70714","0.68682","0.69683","0.41315799999999997","8.970555999999995e-06"
"3","10","10","0.01","1e-06","0.62228","0.51629","0.18716","0.27473","0.6344","0.46439","0.18274","0.26227","0.5777439999999999","0.0046136298339999994"
"3","10","10","0.001","1e-06","0.82944","0.84742","0.44612","0.58453","0.79828","0.78484","0.34703","0.48126","0.453414","0.0015990922740000003"
"3","10","10","0.001","1e-05","0.76631","0.67588","0.41523","0.51442","0.76949","0.67258","0.48004","0.56023","0.4930465","0.00204808059275"
"4","10","10","0.01","1e-06","0.61749","0.0","0.0","0.0","0.65093","0.0","0.0","0.0","0.5405025000000001","0.0074902355987500014"
"4","10","10","0.001","1e-06","0.82252","0.85237","0.27354","0.41417","0.79602","0.85849","0.20155","0.32646","0.45231200000000005","0.003488784176"
"4","10","10","0.001","1e-05","0.66145","0.51154","0.08628","0.14765","0.66914","0.28804","0.06584","0.10718","0.48307599999999995","0.012427282164"
"5","10","10","0.01","1e-06","0.60957","0.06667","0.00033","0.00065","0.60261","0.0","0.0","0.0","0.4761295","0.012665652104749996"
"5","10","10","0.001","1e-06","0.78098","0.76657","0.32682","0.45826","0.77583","0.69799","0.26735","0.38662","0.41054699999999994","0.005036071691"
"5","10","10","0.001","1e-05","0.7852","0.94783","0.20729","0.34018","0.78034","0.89506","0.17428","0.29175","0.45275499999999996","0.005893146255"
"6","10","10","0.01","1e-06","0.64249","0.33333","0.00033","0.00065","0.6788","0.0","0.0","0.0","0.42541450000000003","0.021418067774750003"
"6","10","10","0.001","1e-06","0.82988","0.88528","0.27895","0.42423","0.81262","0.87179","0.19912","0.3242","0.361156","0.014386230503999998"
"6","10","10","0.001","1e-05","0.80803","0.8268","0.30163","0.44201","0.80201","0.55597","0.20637","0.30101","0.3697585","0.00378020355275"
"7","10","10","0.01","1e-06","0.64117","0.23289","0.06741","0.10456","0.65665","0.0","0.0","0.0","0.3619335","0.01715564535275"
"7","10","10","0.001","1e-06","0.81577","0.53897","0.34577","0.42128","0.81802","0.5308","0.37806","0.4416","0.324178","0.018647604626"
"7","10","10","0.001","1e-05","0.85307","0.77066","0.31067","0.44283","0.83325","0.6055","0.275","0.37822","0.35615600000000003","0.007961285884"
"8","10","10","0.01","1e-06","0.6487","0.22353","0.12039","0.15649","0.68156","0.18826","0.13007","0.15385","0.353615","0.023772288225"
"8","10","10","0.001","1e-06","0.84376","0.55113","0.52185","0.53609","0.83746","0.69461","0.27488","0.39389","0.2904435","0.01373275295275"
"8","10","10","0.001","1e-05","0.83518","0.7621","0.28616","0.41608","0.83535","0.6276","0.36682","0.46302","0.30701150000000005","0.011329013692749999"
"9","10","10","0.01","1e-06","0.64378","0.25","0.00037","0.00074","0.65954","0.0","0.0","0.0","0.422721","0.015374452138999998"
"9","10","10","0.001","1e-06","0.82549","0.80659","0.14225","0.24185","0.85538","0.94853","0.19139","0.31852","0.2643245","0.029782649164750003"
"9","10","10","0.001","1e-05","0.85023","0.8323","0.28191","0.42116","0.87232","0.7619","0.30609","0.43672","0.290963","0.013320420050999999"
"10","10","10","0.01","1e-06","0.66701","0.0","0.0","0.0","0.71888","0.0","0.0","0.0","0.36574450000000003","0.028485489404749997"
"10","10","10","0.001","1e-06","0.83788","0.7605","0.19412","0.3093","0.85135","0.93204","0.16054","0.27389","0.30584500000000003","0.018206601045"
"10","10","10","0.001","1e-05","0.78733","0.4129","0.12186","0.18818","0.80458","0.55435","0.13403","0.21587","0.3070715","0.02111976544275"
"11","10","10","0.01","1e-06","0.66959","0.06667","0.00043","0.00086","0.66201","0.33333","0.00143","0.00284","0.3526275","0.01797342604875"
"11","10","10","0.001","1e-06","0.82949","0.88355","0.19431","0.31856","0.84471","0.85987","0.2027","0.32807","0.31417449999999997","0.01697212681475"
"11","10","10","0.001","1e-05","0.81395","0.56303","0.21127","0.30725","0.83282","0.51073","0.21755","0.30513","0.2670625","0.021213275278750002"
"12","10","10","0.01","1e-06","0.67921","0.35714","0.00189","0.00376","0.71336","0.0","0.0","0.0","0.3256625","0.03370573498875"
"12","10","10","0.001","1e-06","0.85314","0.76238","0.27461","0.40378","0.85391","0.49394","0.52279","0.50796","0.25813699999999995","0.009718986261000002"
"12","10","10","0.001","1e-05","0.85368","0.71722","0.26417","0.38613","0.86487","0.88482","0.2331","0.369","0.30146100000000003","0.011129590849"
"13","10","10","0.01","1e-06","0.71709","0.16667","0.0004","0.0008","0.73709","0.0","0.0","0.0","0.357681","0.025176314508999997"
"13","10","10","0.001","1e-06","0.85274","0.63325","0.30944","0.41573","0.86358","0.86325","0.16975","0.28371","0.24833","0.017036460679999997"
"13","10","10","0.001","1e-05","0.78776","0.44759","0.32329","0.37542","0.81252","0.4638","0.32488","0.38211","0.320498","0.017105813046"
"14","10","10","0.01","1e-06","0.6755","0.0","0.0","0.0","0.72287","0.0","0.0","0.0","0.33565849999999997","0.025859443602750005"
"14","10","10","0.001","1e-06","0.8114","0.70513","0.13699","0.22941","0.84896","0.85047","0.14399","0.24628","0.296766","0.008463967334"
"14","10","10","0.001","1e-05","0.79496","0.51198","0.08251","0.14212","0.80761","0.52308","0.06285","0.11221","0.317137","0.016902879311000003"
"15","10","10","0.01","1e-06","0.69887","0.2","0.00041","0.00083","0.7041","0.0","0.0","0.0","0.2308495","0.032161135574750005"
"15","10","10","0.001","1e-06","0.84117","0.71833","0.21346","0.32912","0.84872","0.52399","0.28175","0.36645","0.302795","0.012526668585000001"
"15","10","10","0.001","1e-05","0.76186","0.36203","0.10937","0.16799","0.80169","0.0","0.0","0.0","0.3066940000000001","0.017236206494"
"16","10","10","0.01","1e-06","0.67311","0.22184","0.02716","0.0484","0.71769","0.14516","0.01411","0.02571","0.24300300000000002","0.025610340951"
"16","10","10","0.001","1e-06","0.81472","0.59472","0.1093","0.18466","0.83206","0.728","0.17366","0.28043","0.31795650000000003","0.015345306352749999"
