"model type","option","learning rate","weight decay","train auc score","test auc score"
"s","3","0.0001","1","0.5","0.5"
"s","3","0.0001","0.1","0.5","0.5"
"s","3","0.0001","0.01","0.5","0.5"
"s","3","0.0001","0.001","0.6081827603209644","0.5110985944340612"
"s","3","0.0001","0.0001","0.6534604645578079","0.4499987198853017"
"s","3","0.0001","1e-05","0.6637108132074487","0.5113290150797511"
"s","3","0.001","1","0.5","0.5"
"s","3","0.001","0.1","0.5","0.5"
"s","3","0.001","0.01","0.5","0.5"
"s","3","0.001","0.001","0.8253356337156259","0.6017819196600016"
"s","3","0.001","0.0001","0.9250814171955872","0.6160679996927725"
"s","3","0.001","1e-05","0.9560302855236338","0.6119076269233723"
"s","3","0.01","1","0.5","0.5"
"s","3","0.01","0.1","0.5","0.5"
"s","3","0.01","0.01","0.5","0.5"
"s","3","0.01","0.001","0.8618220523727367","0.5611126756957423"
"s","3","0.01","0.0001","0.9780318740078124","0.6202987787705778"
"s","3","0.01","1e-05","0.9859624846097141","0.5937299982078394"
"s","3","0.1","1","0.5","0.5"
"s","3","0.1","0.1","0.5","0.5"
"s","3","0.1","0.01","0.5","0.5"
"s","3","0.1","0.001","0.5","0.5"
"s","3","0.1","0.0001","0.6108558229164924","0.5297242632939911"
"s","3","0.1","1e-05","0.6313481545927762","0.517896003481912"
