"learning rate","weight decay","train auc score","test auc score"
"0.001","0","0.9008965102451438","0.8287387296625168"
"0.001","1e-05","0.8944445377432809","0.8184921913756945"
"0.001","0.0001","0.8878004911135747","0.8312219894270927"
"0.001","0.001","0.8516071812836128","0.8207394720866038"
"0.0001","0","0.8268312684130069","0.8051036226555175"
"0.0001","1e-05","0.826646536716712","0.8021622799900018"
"0.0001","0.0001","0.7985829158864498","0.780118598829375"
"0.0001","0.001","0.7325782277536098","0.7210210784494115"
"1e-05","0","0.6134282631887666","0.6083647586649156"
"1e-05","1e-05","0.5936581807910295","0.570164002928674"
"1e-05","0.0001","0.5926704717238627","0.5803169338448257"
"1e-05","0.001","0.5557716997769143","0.5551843099970459"
